Model Year,Model Name,Price (in INR)
2021,Apple,154000
2020,Apple,150000
2020,Apple,49000
2019,Apple,48000
2022,Apple,47000
2018,Apple,45000
2017,Apple,47000
2016,Apple,59999
2015,Apple,39999
2014,Apple,25000
2013,Apple,40000
2012,Apple,37000
2011,Apple,100000
2010,Apple,67000
2009,Apple,49123
2008,Apple,36000
2007,Apple,34000
2006,Apple,54000
2005,Apple,50000
2004,Apple,30000
2021,Lenovo,45000
2020,Lenovo,47000
2020,Lenovo,56000
2019,Lenovo,39999
2022,Lenovo,45999
2018,Lenovo,30000
2017,Lenovo,65000
2016,Lenovo,43000
2015,Lenovo,51000
2014,Lenovo,34000
2013,Lenovo,35000
2012,Lenovo,48000
2011,Lenovo,45000
2010,Lenovo,31000
2009,Lenovo,29999
2008,Lenovo,34500
2007,Lenovo,46711
2006,Lenovo,38766
2005,Lenovo,43200
2004,Lenovo,35000
2021,Dell,50000
2020,Dell,46790
2020,Dell,39450
2019,Dell,40235
2022,Dell,42785
2018,Dell,39865
2017,Dell,45000
2016,Dell,43785
2015,Dell,46599
2014,Dell,54000
2013,Dell,52000
2012,Dell,61000
2011,Dell,37839
2010,Dell,51000
2009,Dell,39999
2008,Dell,42000
2007,Dell,58974
2006,Dell,59999
2005,Dell,41990
2004,Dell,34897
